date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,0050,-11428844,0,1181926,-10246918,TWSE
2026-01-02,0051,0,0,61186,61186,TWSE
2026-01-02,0052,-6520640,-1001000,-6670142,-14191782,TWSE
2026-01-02,0053,0,0,4493,4493,TWSE
2026-01-02,0055,-16000,0,657,-15343,TWSE
2026-01-02,0056,7315370,0,12810188,20125558,TWSE
2026-01-02,0057,0,0,-1000,-1000,TWSE
2026-01-02,0061,440000,0,-115714,324286,TWSE
2026-01-02,1101,-4785144,-8000,922693,-3870451,TWSE
2026-01-02,1102,-15844147,19076000,-103647,3128206,TWSE
2026-01-02,1103,-72000,0,0,-72000,TWSE
2026-01-02,1104,-488000,0,75906,-412094,TWSE
2026-01-02,1108,-2007,0,-1000,-3007,TWSE
2026-01-02,1109,1000,0,-45,955,TWSE
2026-01-02,1110,14000,0,0,14000,TWSE
2026-01-02,1201,-94000,0,0,-94000,TWSE
2026-01-02,1203,2000,0,0,2000,TWSE
2026-01-02,1210,240000,-138000,-5769,96231,TWSE
2026-01-02,1215,-86000,-138000,23524,-200476,TWSE
2026-01-02,1216,-3497228,1035091,43724,-2418413,TWSE
2026-01-02,1217,65000,0,0,65000,TWSE
2026-01-02,1218,29000,0,-1000,28000,TWSE
2026-01-02,1219,1000,0,0,1000,TWSE
2026-01-02,1220,32000,0,0,32000,TWSE
2026-01-02,1225,-16000,0,0,-16000,TWSE
2026-01-02,1227,-22000,-15000,2793,-34207,TWSE
2026-01-02,1229,-1046995,-3000,2011,-1047984,TWSE
2026-01-02,1231,-211000,0,4203,-206797,TWSE
2026-01-02,1232,13000,0,0,13000,TWSE
2026-01-02,1233,1000,0,10000,11000,TWSE
2026-01-02,1234,-16000,0,-52,-16052,TWSE
2026-01-02,1235,2000,0,0,2000,TWSE
2026-01-02,1236,-1000,0,1000,0,TWSE
2026-01-02,1240,1000,0,-860,140,TPEX
2026-01-02,1256,4000,0,0,4000,TWSE
2026-01-02,1264,-4000,0,0,-4000,TPEX
2026-01-02,1268,1000,0,0,1000,TPEX
2026-01-02,1295,51000,0,-52,50948,TPEX
2026-01-02,1301,-7733806,-242070,280430,-7695446,TWSE
2026-01-02,1303,-43262025,-1543908,-681775,-45487708,TWSE
2026-01-02,1304,-3094000,0,-39107,-3133107,TWSE
2026-01-02,1305,-1089000,0,1686,-1087314,TWSE
2026-01-02,1307,-1180000,-6000,-8800,-1194800,TWSE
2026-01-02,1308,-1225000,0,-16830,-1241830,TWSE
2026-01-02,1309,-445000,0,871,-444129,TWSE
2026-01-02,1310,-1052000,0,627,-1051373,TWSE
2026-01-02,1312,-2969000,0,-57737,-3026737,TWSE
2026-01-02,1313,-2161000,0,1000,-2160000,TWSE
2026-01-02,1314,-6290700,0,-15061,-6305761,TWSE
2026-01-02,1315,1000,0,0,1000,TWSE
2026-01-02,1316,-707000,0,114802,-592198,TWSE
2026-01-02,1319,185000,78473,952,264425,TWSE
2026-01-02,1321,-1000,0,0,-1000,TWSE
2026-01-02,1323,-2000,0,-1000,-3000,TWSE
2026-01-02,1324,2000,0,-1000,1000,TWSE
2026-01-02,1325,139000,0,0,139000,TWSE
2026-01-02,1326,-9044534,0,481840,-8562694,TWSE
2026-01-02,1336,6000,0,0,6000,TPEX
2026-01-02,1337,-43000,0,0,-43000,TWSE
2026-01-02,1338,-3000,0,0,-3000,TWSE
2026-01-02,1339,5000,0,458,5458,TWSE
2026-01-02,1340,51000,0,1000,52000,TWSE
2026-01-02,1341,1000,0,0,1000,TWSE
2026-01-02,1342,23000,0,376,23376,TWSE
2026-01-02,1402,-271534,-553000,277463,-547071,TWSE
2026-01-02,1409,-1470900,0,-214234,-1685134,TWSE
2026-01-02,1410,1000,0,0,1000,TWSE
2026-01-02,1413,1000,0,1000,2000,TWSE
2026-01-02,1416,-2000,0,0,-2000,TWSE
2026-01-02,1417,-12000,0,4000,-8000,TWSE
2026-01-02,1418,17000,0,0,17000,TWSE
2026-01-02,1419,-37000,0,-4000,-41000,TWSE
2026-01-02,1423,5000,0,0,5000,TWSE
2026-01-02,1432,0,0,0,0,TWSE
2026-01-02,1434,-465000,-300000,401,-764599,TWSE
2026-01-02,1435,1000,0,0,1000,TWSE
2026-01-02,1436,92000,0,859,92859,TWSE
2026-01-02,1437,5000,0,-8000,-3000,TWSE
2026-01-02,1438,1000,0,0,1000,TWSE
2026-01-02,1439,4000,0,9000,13000,TWSE
2026-01-02,1440,-315000,0,7091,-307909,TWSE
2026-01-02,1441,0,0,0,0,TWSE
2026-01-02,1442,-742000,0,-34338,-776338,TWSE
2026-01-02,1443,-1000,0,0,-1000,TWSE
2026-01-02,1444,-211000,0,1751,-209249,TWSE
2026-01-02,1445,-4000,0,0,-4000,TWSE
2026-01-02,1446,3000,0,-5000,-2000,TWSE
2026-01-02,1447,-146000,0,-3000,-149000,TWSE
2026-01-02,1449,75000,0,999,75999,TWSE
2026-01-02,1451,-3000,0,0,-3000,TWSE
2026-01-02,1452,0,0,2000,2000,TWSE
2026-01-02,1453,7000,0,3000,10000,TWSE
2026-01-02,1454,10000,0,0,10000,TWSE
2026-01-02,1455,-6000,0,376,-5624,TWSE
2026-01-02,1456,-2000,0,1000,-1000,TWSE
2026-01-02,1457,4000,0,-1000,3000,TWSE
2026-01-02,1459,2000,0,0,2000,TWSE
2026-01-02,1460,-117000,0,-1000,-118000,TWSE
2026-01-02,1463,11000,0,0,11000,TWSE
2026-01-02,1464,-52000,0,-1000,-53000,TWSE
2026-01-02,1465,5000,0,0,5000,TWSE
2026-01-02,1466,-2000,0,5,-1995,TWSE
2026-01-02,1467,14000,0,-1000,13000,TWSE
