date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,0050,1,1244873,352345343,1.84,TDCC
2026-05-29,0050,10,7993,1077886803,5.64,TDCC
2026-05-29,0050,11,2205,591417771,3.09,TDCC
2026-05-29,0050,12,393,190067551,0.99,TDCC
2026-05-29,0050,13,129,88645822,0.46,TDCC
2026-05-29,0050,14,61,54845833,0.28,TDCC
2026-05-29,0050,15,236,4919133575,25.75,TDCC
2026-05-29,0050,16,2,5000,0.0,TDCC
2026-05-29,0050,17,2956615,19099000000,100.0,TDCC
2026-05-29,0050,2,1126545,2564761963,13.42,TDCC
2026-05-29,0050,3,278070,2049617821,10.73,TDCC
2026-05-29,0050,4,110870,1373284634,7.19,TDCC
2026-05-29,0050,5,61645,1091238082,5.71,TDCC
2026-05-29,0050,6,56289,1389362148,7.27,TDCC
2026-05-29,0050,7,27233,954418755,4.99,TDCC
2026-05-29,0050,8,14999,678739083,3.55,TDCC
2026-05-29,0050,9,25074,1723239816,9.02,TDCC
2026-05-29,0051,1,8252,1495085,6.1,TDCC
2026-05-29,0051,10,4,486575,1.98,TDCC
2026-05-29,0051,11,2,541903,2.21,TDCC
2026-05-29,0051,12,1,574000,2.34,TDCC
2026-05-29,0051,13,3,2170659,8.85,TDCC
2026-05-29,0051,14,0,0,0.0,TDCC
2026-05-29,0051,15,1,1070404,4.36,TDCC
2026-05-29,0051,16,0,0,0.0,TDCC
2026-05-29,0051,17,13370,24500000,100.0,TDCC
2026-05-29,0051,2,4351,8594183,35.07,TDCC
2026-05-29,0051,3,461,3370853,13.75,TDCC
2026-05-29,0051,4,135,1676974,6.84,TDCC
2026-05-29,0051,5,72,1297687,5.29,TDCC
2026-05-29,0051,6,45,1146662,4.68,TDCC
2026-05-29,0051,7,19,654061,2.66,TDCC
2026-05-29,0051,8,7,317318,1.29,TDCC
2026-05-29,0051,9,17,1103636,4.5,TDCC
2026-05-29,0052,1,123814,33217697,1.32,TDCC
2026-05-29,0052,10,767,104370841,4.15,TDCC
2026-05-29,0052,11,229,64139341,2.55,TDCC
2026-05-29,0052,12,42,20259121,0.8,TDCC
2026-05-29,0052,13,34,23517018,0.93,TDCC
2026-05-29,0052,14,13,11901791,0.47,TDCC
2026-05-29,0052,15,66,459382592,18.28,TDCC
2026-05-29,0052,16,0,0,0.0,TDCC
2026-05-29,0052,17,450220,2513000000,100.0,TDCC
2026-05-29,0052,2,239432,509460864,20.27,TDCC
2026-05-29,0052,3,47328,367996000,14.64,TDCC
2026-05-29,0052,4,15218,194589168,7.74,TDCC
2026-05-29,0052,5,8259,151211177,6.01,TDCC
2026-05-29,0052,6,7405,186216338,7.41,TDCC
2026-05-29,0052,7,3024,107266164,4.26,TDCC
2026-05-29,0052,8,1800,83321734,3.31,TDCC
2026-05-29,0052,9,2789,196150154,7.8,TDCC
2026-05-29,0053,1,1703,167364,3.35,TDCC
2026-05-29,0053,10,1,192621,3.86,TDCC
2026-05-29,0053,11,2,534642,10.71,TDCC
2026-05-29,0053,12,0,0,0.0,TDCC
2026-05-29,0053,13,0,0,0.0,TDCC
2026-05-29,0053,14,0,0,0.0,TDCC
2026-05-29,0053,15,1,1036000,20.76,TDCC
2026-05-29,0053,16,0,0,0.0,TDCC
2026-05-29,0053,17,2577,4988000,100.0,TDCC
2026-05-29,0053,2,757,1443098,28.93,TDCC
2026-05-29,0053,3,73,595275,11.93,TDCC
2026-05-29,0053,4,10,130000,2.6,TDCC
2026-05-29,0053,5,15,286000,5.73,TDCC
2026-05-29,0053,6,6,158000,3.16,TDCC
2026-05-29,0053,7,3,94000,1.88,TDCC
2026-05-29,0053,8,3,143000,2.86,TDCC
2026-05-29,0053,9,3,208000,4.17,TDCC
2026-05-29,0055,1,3285,894017,1.1,TDCC
2026-05-29,0055,10,21,2790932,3.43,TDCC
2026-05-29,0055,11,14,3861530,4.75,TDCC
2026-05-29,0055,12,7,3143168,3.87,TDCC
2026-05-29,0055,13,4,2789000,3.43,TDCC
2026-05-29,0055,14,0,0,0.0,TDCC
2026-05-29,0055,15,4,29862212,36.79,TDCC
