date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,1240,1000,0,-860,140,TPEX
2026-01-02,1264,-4000,0,0,-4000,TPEX
2026-01-02,1268,1000,0,0,1000,TPEX
2026-01-02,1295,51000,0,-52,50948,TPEX
2026-01-02,1336,6000,0,0,6000,TPEX
2026-01-02,1565,50000,0,0,50000,TPEX
2026-01-02,1569,206000,0,14984,220984,TPEX
2026-01-02,1570,31000,0,274,31274,TPEX
2026-01-02,1580,5000,0,0,5000,TPEX
2026-01-02,1584,0,0,63,63,TPEX
2026-01-02,1586,58000,0,0,58000,TPEX
2026-01-02,1591,89000,0,425,89425,TPEX
2026-01-02,1593,5000,0,0,5000,TPEX
2026-01-02,1595,-48000,0,-248,-48248,TPEX
2026-01-02,1599,5000,0,0,5000,TPEX
2026-01-02,1777,-4000,0,0,-4000,TPEX
2026-01-02,1781,0,0,-198,-198,TPEX
2026-01-02,1784,-94000,0,63009,-30991,TPEX
2026-01-02,1785,-2879750,0,-223006,-3102756,TPEX
2026-01-02,1796,4000,0,0,4000,TPEX
2026-01-02,1799,-12000,0,-33,-12033,TPEX
2026-01-02,1815,-11718318,-8752611,2687616,-17783313,TPEX
2026-01-02,2061,-15000,0,0,-15000,TPEX
2026-01-02,2065,-1000,0,0,-1000,TPEX
2026-01-02,2066,5000,0,0,5000,TPEX
2026-01-02,2067,-14000,0,0,-14000,TPEX
2026-01-02,2070,58000,0,0,58000,TPEX
2026-01-02,2221,0,0,0,0,TPEX
2026-01-02,2230,17000,0,-2046,14954,TPEX
2026-01-02,2596,-2000,0,0,-2000,TPEX
2026-01-02,2640,-30000,0,0,-30000,TPEX
2026-01-02,2641,-139000,0,-6534,-145534,TPEX
2026-01-02,2643,6000,0,0,6000,TPEX
2026-01-02,2718,-8000,0,-10596,-18596,TPEX
2026-01-02,2726,-15000,0,0,-15000,TPEX
2026-01-02,2729,-1000,0,0,-1000,TPEX
2026-01-02,2734,30000,0,0,30000,TPEX
2026-01-02,2736,32000,0,0,32000,TPEX
2026-01-02,2740,-1000,0,0,-1000,TPEX
2026-01-02,2743,133000,0,594,133594,TPEX
2026-01-02,2745,62000,0,13144,75144,TPEX
2026-01-02,2751,-1000,0,0,-1000,TPEX
2026-01-02,2754,1000,0,0,1000,TPEX
2026-01-02,2755,-4000,0,0,-4000,TPEX
2026-01-02,2756,17000,0,-780,16220,TPEX
2026-01-02,2916,1000,0,0,1000,TPEX
2026-01-02,2926,4000,0,0,4000,TPEX
2026-01-02,2947,-7000,0,0,-7000,TPEX
2026-01-02,3066,1000,0,0,1000,TPEX
2026-01-02,3067,-1000,0,0,-1000,TPEX
2026-01-02,3071,81000,0,-433,80567,TPEX
2026-01-02,3073,7000,0,0,7000,TPEX
2026-01-02,3078,593000,-1042962,-26104,-476066,TPEX
2026-01-02,3081,136000,150000,49000,335000,TPEX
2026-01-02,3083,17000,0,1,17001,TPEX
2026-01-02,3086,-10000,0,-344,-10344,TPEX
2026-01-02,3088,10000,0,-11620,-1620,TPEX
2026-01-02,3093,27000,0,58,27058,TPEX
2026-01-02,3105,477120,0,276328,753448,TPEX
2026-01-02,3114,34000,0,0,34000,TPEX
2026-01-02,3118,1000,0,0,1000,TPEX
2026-01-02,3122,-1000,0,-183,-1183,TPEX
2026-01-02,3128,129000,0,0,129000,TPEX
2026-01-02,3131,8884,78800,128965,216649,TPEX
2026-01-02,3141,132000,0,-8739,123261,TPEX
2026-01-02,3147,10000,0,-142,9858,TPEX
2026-01-02,3152,327000,0,-13703,313297,TPEX
2026-01-02,3158,4000,0,0,4000,TPEX
2026-01-02,3162,930941,0,42315,973256,TPEX
2026-01-02,3163,65990,0,23479,89469,TPEX
2026-01-02,3169,15000,0,1132,16132,TPEX
2026-01-02,3171,-7000,0,0,-7000,TPEX
2026-01-02,3176,46000,0,0,46000,TPEX
2026-01-02,3178,-23000,0,0,-23000,TPEX
2026-01-02,3188,-214000,0,-10335,-224335,TPEX
2026-01-02,3191,-5000,0,0,-5000,TPEX
2026-01-02,3205,-17000,0,0,-17000,TPEX
2026-01-02,3206,-2000,0,-3,-2003,TPEX
2026-01-02,3207,181000,0,-126669,54331,TPEX
2026-01-02,3211,-309600,-244000,-88572,-642172,TPEX
2026-01-02,3213,3000,-2085,4224,5139,TPEX
2026-01-02,3217,-45000,19352,-12816,-38464,TPEX
