timestamp,open,high,low,close,volume
2024-11-15,14.95,15.55,14.95,15.3,49609501
2024-11-18,15.15,15.65,15.05,15.4,56859638
2024-11-19,15.4,15.5,15.05,15.25,60586303
2024-11-20,15.15,15.15,15.15,15.15,31975190
2024-11-21,15.1,15.45,15.05,15.25,27279176
2024-11-22,15.35,15.7,15.35,15.5,42634821
2024-11-25,15.8,15.85,15.4,15.4,44933731
2024-11-26,15.45,15.45,15.25,15.3,22440609
2024-11-27,15.35,15.4,15.1,15.1,36503777
2024-11-28,15.15,15.15,14.75,15.0,43876336
2024-11-29,14.95,15.25,14.85,15.15,34148410
2024-12-02,15.25,15.4,15.1,15.2,20754020
2024-12-03,15.35,15.45,15.3,15.45,29441516
2024-12-04,15.55,15.6,15.4,15.6,29070213
2024-12-05,15.65,15.75,15.3,15.3,33537153
2024-12-06,15.45,15.75,15.4,15.75,47265030
2024-12-09,15.8,15.85,15.55,15.65,41572894
2024-12-10,15.7,15.95,15.45,15.5,51726048
2024-12-11,15.5,15.75,15.35,15.55,26901414
2024-12-12,15.65,16.0,15.65,15.75,71902940
2024-12-13,15.7,15.75,15.3,15.35,50164934
2024-12-16,15.45,15.7,15.25,15.25,37195660
2024-12-17,15.3,15.35,14.95,15.0,56043819
2024-12-18,15.0,15.2,14.9,15.1,38115710
2024-12-19,14.9,14.95,14.7,14.9,50694405
2024-12-20,14.85,14.95,14.3,14.3,86623297
2024-12-23,14.5,15.15,14.5,15.0,72813590
2024-12-24,15.05,15.2,14.8,14.85,33044575
2024-12-25,15.05,15.05,14.7,14.75,21392097
2024-12-26,14.8,14.85,14.65,14.65,19122797
2024-12-27,14.65,14.7,14.55,14.55,15809762
2024-12-30,14.55,14.7,14.35,14.35,25614506
2024-12-31,14.35,14.4,14.2,14.35,26099770
2025-01-02,14.35,14.4,14.1,14.1,31844787
2025-01-03,14.2,14.35,13.95,13.95,29294834
2025-01-06,14.1,14.2,13.95,14.1,42895600
2025-01-07,14.25,14.75,14.25,14.5,69173950
2025-01-08,14.6,14.7,14.45,14.6,32501441
2025-01-09,14.6,14.65,14.05,14.15,38431208
2025-01-10,14.05,14.1,13.8,13.9,59553525
2025-01-13,13.8,13.8,13.4,13.6,59354878
2025-01-14,13.7,13.95,13.65,13.9,29712499
2025-01-15,13.95,14.25,13.9,14.05,33172321
2025-01-16,14.35,14.4,13.85,13.85,34697812
2025-01-17,14.05,14.1,13.85,13.95,26263091
2025-01-20,14.05,14.05,13.65,13.85,42816032
2025-01-21,14.05,14.3,13.8,13.8,46321394
2025-01-22,13.95,14.05,13.8,14.05,34461869
2025-02-03,13.85,13.85,13.5,13.6,39269880
2025-02-04,13.7,13.75,13.3,13.35,32470220
2025-02-05,13.5,13.75,13.5,13.6,24381462
2025-02-06,13.65,13.7,13.5,13.6,28681791
2025-02-07,13.75,13.95,13.7,13.8,35114004
2025-02-10,13.7,13.7,13.55,13.55,24604125
2025-02-11,13.7,13.8,13.45,13.5,34259516
2025-02-12,13.6,13.85,13.4,13.4,66693708
2025-02-13,13.5,14.0,13.45,13.95,88771444
2025-02-14,14.25,14.3,13.85,14.15,76939274
2025-02-17,14.15,14.5,14.05,14.45,53952812
2025-02-18,14.4,14.45,14.2,14.35,34292995
2025-02-19,14.6,15.1,14.6,14.9,126068788
2025-02-20,14.95,15.2,14.85,15.0,60844469
2025-02-21,15.05,15.1,14.9,15.1,40297949
2025-02-24,14.9,15.15,14.85,15.05,33033223
2025-02-25,15.05,15.3,14.95,15.05,53744596
2025-02-26,15.05,15.05,14.85,15.05,40061975
2025-02-27,15.05,15.1,14.9,14.9,47770840
2025-03-03,14.8,14.85,14.6,14.6,47682189
2025-03-04,14.4,14.65,14.2,14.65,38457012
2025-03-05,14.75,15.2,14.6,15.15,64028638
2025-03-06,15.25,15.35,15.0,15.0,35157115
2025-03-07,15.0,15.1,14.95,14.95,22577407
2025-03-10,15.05,15.05,14.8,14.9,29938082
2025-03-11,14.6,14.95,14.25,14.9,56465695
2025-03-12,14.85,15.0,14.75,14.9,29189653
2025-03-13,15.1,15.3,14.7,14.7,58611014
2025-03-14,15.25,15.85,15.2,15.6,283061347
2025-03-17,15.7,16.25,15.6,16.0,214519416
2025-03-18,16.0,16.15,15.85,16.15,108993990
