date,cash,position_value,total_equity,open_positions
2026-01-02,10000.0,0.0,10000.0,0
2026-01-05,10000.0,0.0,10000.0,0
2026-01-06,10000.0,0.0,10000.0,0
2026-01-07,10000.0,0.0,10000.0,0
2026-01-08,10000.0,0.0,10000.0,0
2026-01-09,10000.0,0.0,10000.0,0
2026-01-12,10000.0,0.0,10000.0,0
2026-01-13,10000.0,0.0,10000.0,0
2026-01-14,10000.0,0.0,10000.0,0
2026-01-15,10000.0,0.0,10000.0,0
2026-01-16,10000.0,0.0,10000.0,0
2026-01-19,10000.0,0.0,10000.0,0
2026-01-20,10000.0,0.0,10000.0,0
2026-01-21,10000.0,0.0,10000.0,0
2026-01-22,10000.0,0.0,10000.0,0
2026-01-23,10000.0,0.0,10000.0,0
2026-01-26,10000.0,0.0,10000.0,0
2026-01-27,10000.0,0.0,10000.0,0
2026-01-28,10000.0,0.0,10000.0,0
2026-01-29,10000.0,0.0,10000.0,0
2026-01-30,10000.0,0.0,10000.0,0
2026-02-02,10000.0,0.0,10000.0,0
2026-02-03,10000.0,0.0,10000.0,0
2026-02-04,10000.0,0.0,10000.0,0
2026-02-05,10000.0,0.0,10000.0,0
2026-02-06,10000.0,0.0,10000.0,0
2026-02-09,10000.0,0.0,10000.0,0
2026-02-10,10000.0,0.0,10000.0,0
2026-02-11,10000.0,0.0,10000.0,0
2026-02-23,10000.0,0.0,10000.0,0
2026-02-24,10000.0,0.0,10000.0,0
2026-02-25,10000.0,0.0,10000.0,0
2026-02-26,10000.0,0.0,10000.0,0
2026-03-02,10000.0,0.0,10000.0,0
2026-03-03,10000.0,0.0,10000.0,0
2026-03-04,10000.0,0.0,10000.0,0
2026-03-05,10000.0,0.0,10000.0,0
2026-03-06,10000.0,0.0,10000.0,0
2026-03-09,10000.0,0.0,10000.0,0
2026-03-10,10000.0,0.0,10000.0,0
2026-03-11,10000.0,0.0,10000.0,0
2026-03-12,10000.0,0.0,10000.0,0
2026-03-13,10000.0,0.0,10000.0,0
2026-03-16,10000.0,0.0,10000.0,0
2026-03-17,10000.0,0.0,10000.0,0
2026-03-18,10000.0,0.0,10000.0,0
2026-03-19,10000.0,0.0,10000.0,0
2026-03-20,10000.0,0.0,10000.0,0
2026-03-23,10000.0,0.0,10000.0,0
2026-03-24,10000.0,0.0,10000.0,0
2026-03-25,10000.0,0.0,10000.0,0
2026-03-26,10000.0,0.0,10000.0,0
2026-03-27,10000.0,0.0,10000.0,0
2026-03-30,10000.0,0.0,10000.0,0
2026-03-31,10000.0,0.0,10000.0,0
2026-04-01,10000.0,0.0,10000.0,0
2026-04-02,10000.0,0.0,10000.0,0
2026-04-07,10000.0,0.0,10000.0,0
2026-04-08,10000.0,0.0,10000.0,0
2026-04-09,10000.0,0.0,10000.0,0
2026-04-10,10000.0,0.0,10000.0,0
2026-04-13,10000.0,0.0,10000.0,0
2026-04-14,10000.0,0.0,10000.0,0
2026-04-15,10000.0,0.0,10000.0,0
2026-04-16,10000.0,0.0,10000.0,0
2026-04-17,10000.0,0.0,10000.0,0
2026-04-20,10000.0,0.0,10000.0,0
2026-04-21,10000.0,0.0,10000.0,0
2026-04-22,10000.0,0.0,10000.0,0
2026-04-23,10000.0,0.0,10000.0,0
2026-04-24,10000.0,0.0,10000.0,0
2026-04-27,10000.0,0.0,10000.0,0
2026-04-28,10000.0,0.0,10000.0,0
2026-04-29,10000.0,0.0,10000.0,0
2026-04-30,10000.0,0.0,10000.0,0
2026-05-04,10000.0,0.0,10000.0,0
2026-05-05,10000.0,0.0,10000.0,0
2026-05-06,10000.0,0.0,10000.0,0
2026-05-07,10000.0,0.0,10000.0,0
2026-05-08,10000.0,0.0,10000.0,0
2026-05-11,10000.0,0.0,10000.0,0
2026-05-12,10000.0,0.0,10000.0,0
2026-05-13,10000.0,0.0,10000.0,0
2026-05-14,10000.0,0.0,10000.0,0
2026-05-15,10000.0,0.0,10000.0,0
2026-05-18,10000.0,0.0,10000.0,0
2026-05-19,10000.0,0.0,10000.0,0
2026-05-20,10000.0,0.0,10000.0,0
2026-05-21,10000.0,0.0,10000.0,0
2026-05-22,10000.0,0.0,10000.0,0
2026-05-25,10000.0,0.0,10000.0,0
2026-05-26,10000.0,0.0,10000.0,0
2026-05-27,10000.0,0.0,10000.0,0
2026-05-28,10000.0,0.0,10000.0,0
2026-05-29,10000.0,0.0,10000.0,0
