symbol,name,group,decision,score,tier,market_state,pattern_type,close,volume,volume_lots,volume_gate,volume_ratio,ma3,ma8,ma21,key_level,chip_status,twsthr_rank,twsthr_latest_two_changes,twsthr_total_change,action,reason
2492,華新科,operation_group,reject,56.28,secondary_watchlist,strong_uptrend,,407.5,4969000,4969.0,pass,0.62,415.83,418.81,333.79,133.0,籌碼未確認,1,"[2.07, 0.47]",13.83,本週符合神秘金字塔條件：六週總增減排名前十，且最近兩週增減皆為正值；先列入選名單，仍需等待操作組規則、5K切入點與60K MACD確認。,均線分數 65，價格相對主要均線檢查完成；頸線 133.00，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
6282,康舒,operation_group,hold,68.76,secondary_watchlist,strong_uptrend,w_pattern,58.5,88727000,88727.0,pass,1.36,60.17,63.54,58.38,49.6,籌碼未確認,2,"[3.13, 5.2]",12.89,本週符合神秘金字塔條件：六週總增減排名前十，且最近兩週增減皆為正值；先列入選名單，仍需等待操作組規則、5K切入點與60K MACD確認。,均線分數 65，價格相對主要均線檢查完成；頸線 49.60，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3704,合勤控,operation_group,reject,59.65,secondary_watchlist,strong_uptrend,,45.05,6734000,6734.0,pass,0.95,46.87,47.48,43.7,36.3,籌碼未確認,8,"[2.27, 2.01]",7.82,本週符合神秘金字塔條件：六週總增減排名前十，且最近兩週增減皆為正值；先列入選名單，仍需等待操作組規則、5K切入點與60K MACD確認。,均線分數 65，價格相對主要均線檢查完成；頸線 36.30，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
2406,國碩,operation_group,hold,70.12,secondary_watchlist,strong_uptrend,w_pattern,35.85,37297000,37297.0,pass,1.89,34.28,35.71,33.74,30.25,籌碼未確認,10,"[0.7, 4.07]",7.04,本週符合神秘金字塔條件：六週總增減排名前十，且最近兩週增減皆為正值；先列入選名單，仍需等待操作組規則、5K切入點與60K MACD確認。,均線分數 65，價格相對主要均線檢查完成；頸線 30.25，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
2375,2375,observation_group,reject,70.05,secondary_watchlist,strong_uptrend,,158.5,8052000,8052.0,pass,0.5,157.83,157.06,136.8,82.9,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 100，價格相對主要均線檢查完成；頸線 82.90，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
6770,6770,observation_group,reject,52.52,lower_priority,constructive,,64.4,129992000,129992.0,pass,0.49,67.8,77.06,70.75,56.2,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 56.20，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
6141,6141,observation_group,reject,45.85,lower_priority,constructive,,32.5,1653000,1653.0,pass,0.42,34.37,38.22,35.84,28.25,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 28.25，第二底不破/假跌破檢查 False；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
4916,4916,observation_group,reject,60.57,secondary_watchlist,strong_uptrend,,111.5,13871000,13871.0,pass,1.04,115.67,118.38,100.3,66.7,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 66.70，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3048,益登,observation_group,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,73.3,46274000,46274.0,pass,2.06,70.5,69.8,66.18,41.2,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 100，價格相對主要均線檢查完成；頸線 41.20，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
2478,2478,observation_group,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,170.0,27730000,27730.0,pass,3.01,163.0,150.06,124.24,67.6,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 100，價格相對主要均線檢查完成；頸線 67.60，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3481,群創,observation_group,reject,49.49,lower_priority,constructive,,44.3,125533000,125533.0,pass,0.19,47.25,52.87,46.32,24.7,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 24.70，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3450,聯鈞,observation_group,hold,67.62,secondary_watchlist,constructive,w_pattern,472.0,19571000,19571.0,pass,1.98,480.0,512.0,474.93,323.5,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 323.50，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
1597,直得,observation_group,reject,54.21,lower_priority,constructive,,147.5,2686000,2686.0,pass,0.66,154.33,164.94,178.05,112.5,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 112.50，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3033,威健,observation_group,reject,60.92,secondary_watchlist,strong_uptrend,,50.2,23649000,23649.0,pass,1.08,49.7,49.89,49.63,35.8,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 35.80，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
3026,禾伸堂,observation_group,reject,62.03,secondary_watchlist,strong_uptrend,,642.0,2616000,2616.0,pass,1.19,634.67,639.25,528.55,250.5,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 250.50，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
2464,盟立,observation_group,reject,54.2,lower_priority,constructive,,146.0,14473000,14473.0,pass,0.66,148.17,167.38,153.93,94.9,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 94.90，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；沒有結構，不做；沒有足夠成交量，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
8150,南茂,observation_group,hold,67.62,secondary_watchlist,constructive,w_pattern,88.3,77803000,77803.0,pass,1.63,90.47,96.03,90.0,71.8,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 65，價格相對主要均線檢查完成；頸線 71.80，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
2484,希華,observation_group,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,58.1,99353000,99353.0,pass,3.23,58.07,54.68,49.66,47.6,籌碼未確認,,[],,上週操作組本週掉出神秘金字塔前五，先降到觀察組保留一週；若結構未轉強或籌碼鬆動，下週淘汰。,均線分數 100，價格相對主要均線檢查完成；頸線 47.60，第二底不破/假跌破檢查 True；沒有籌碼資料，僅能列入技術觀察，不列最高優先；籌碼未確認偏多，只能列觀察組，不能列實際操作組
